Order ID,Order Date,Ship Date,Customer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit
CA-2013-138688,13-06-2013,17-06-2013,Darrin Van Huff,United States,Los Angeles,California,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.00,6.87
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.00,14.17
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Art,Newell 322,7.28,4.00,1.97
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Phones,Mitel 5320 IP Phone VoIP phone,907.15,4.00,90.72
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3.00,5.78
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5.00,34.47
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Tables,Chromcraft Rectangular Conference Tables,1706.18,9.00,85.31
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4.00,68.36
CA-2013-161389,06-12-2013,11-12-2013,Irene Maddox,United States,Seattle,Washington,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.00,132.59
CA-2011-167164,13-05-2011,15-05-2011,Alejandro Grove,United States,West Jordan,Utah,Storage,Fellowes Super Stor/Drawer,55.50,2.00,9.99
CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,United States,San Francisco,California,Art,Newell 341,8.56,2.00,2.48
CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,United States,San Francisco,California,Phones,Cisco SPA 501G IP Phone,213.48,3.00,16.01
CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,United States,San Francisco,California,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.00,7.38
CA-2012-106320,25-09-2012,30-09-2012,Emily Burns,United States,Orem,Utah,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.00,240.26
CA-2013-121755,16-01-2013,20-01-2013,Eric Hoffmann,United States,Los Angeles,California,Binders,Wilson Jones Active Use Binders,11.65,2.00,4.22
CA-2013-121755,16-01-2013,20-01-2013,Eric Hoffmann,United States,Los Angeles,California,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.00,11.77
